t,cmd_px,cmd_py,cmd_pz,cmd_qx,cmd_qy,cmd_qz,cmd_qw,cmd_jaw_sep,grip_px,grip_py,grip_pz,grip_qx,grip_qy,grip_qz,grip_qw,grip_jaw_sep,peg_px,peg_py,peg_pz,peg_qx,peg_qy,peg_qz,peg_qw,f_gripper_peg,f_peg_table,f_peg_cuboid,f_cuboid_table
0,0.029999964779061902,0.4549999647790619,0.20750002221268776,1.0,0.0,0.0,6.123233995736766e-17,0.01,0.029999964779061902,0.4549999647790619,0.20750002221268776,1.0,0.0,0.0,6.123233995736766e-17,0.06029020601689297,0.19999976519374837,0.19999976519374837,0.05000014808458535,2.302026071037322e-06,-2.3020260710373325e-06,3.1128082764371166e-22,0.9999999999947007,0.0,0.9810000000040989,0.0,9.810000000000151
1,0.05549993484126488,0.4167499348412649,0.2138750410934724,1.0,0.0,0.0,6.123233995736766e-17,0.01,0.05549993484126488,0.4167499348412649,0.2138750410934724,1.0,0.0,0.0,6.123233995736766e-17,0.030116082406757193,0.19999976519375062,0.19999976519375062,0.050000148084585014,2.302026071783158e-06,-2.3020260717831687e-06,3.084171994488718e-22,0.9999999999947007,0.0,0.9809999999958409,0.0,9.810000000004383
2,0.07717490939413774,0.38423740939413775,0.2192938071421393,1.0,0.0,0.0,6.123233995736766e-17,0.01,0.07717490939413774,0.38423740939413775,0.2192938071421393,1.0,0.0,0.0,6.123233995736766e-17,0.01804635263742681,0.19999976519375298,0.19999976519375298,0.050000148084585375,2.3020260715755982e-06,-2.3020260715756084e-06,3.1102556487655526e-22,0.9999999999947007,0.0,0.9810000000040009,0.0,9.809999999990822
3,0.09559863776408002,0.35660176276408007,0.22389975828350622,1.0,0.0,0.0,6.123233995736766e-17,0.01,0.09559863776408002,0.35660176276408007,0.22389975828350622,1.0,0.0,0.0,6.123233995736766e-17,0.013218465857960472,0.19999976519375537,0.19999976519375537,0.05000014808458531,2.3020260710219377e-06,-2.302026071021948e-06,3.0166000626133e-22,0.9999999999947007,0.0,0.980999999997565,0.0,9.810000000009213
4,0.11125880687853132,0.33311146312853135,0.22781481675366808,1.0,0.0,0.0,6.123233995736766e-17,0.01,0.11125880687853132,0.33311146312853135,0.22781481675366808,1.0,0.0,0.0,6.123233995736766e-17,0.011287311373625788,0.19999976519375764,0.19999976519375764,0.05000014808458498,2.302026071648009e-06,-2.3020260716480187e-06,2.9775028539728916e-22,0.9999999999947007,0.0,0.9809999999984585,0.0,9.80999999999524
5,0.12456995062581527,0.3131447084383153,0.2311426164533056,1.0,0.0,0.0,6.123233995736766e-17,0.01,0.12456995062581527,0.3131447084383153,0.2311426164533056,1.0,0.0,0.0,6.123233995736766e-17,0.010514856663403243,0.19999976519376,0.19999976519376,0.050000148084585354,2.3020260714724165e-06,-2.302026071472426e-06,3.055745738867726e-22,0.9999999999947007,0.0,0.9810000000040614,0.0,9.81000000000016
6,0.135884422811007,0.29617296695163203,0.23397124619799758,1.0,0.0,0.0,6.123233995736766e-17,0.01,0.135884422811007,0.29617296695163203,0.23397124619799758,1.0,0.0,0.0,6.123233995736766e-17,0.010205871684196325,0.19999985115643595,0.19999985115643595,0.049999919390665386,1.4592560894825585e-06,-1.4592560894825676e-06,2.9842398523117997e-22,0.9999999999978706,0.0,0.9796827230188164,0.0,9.809999999995556
7,0.14550173706282132,0.2817469995823526,0.23637554717689777,1.0,0.0,0.0,6.123233995736766e-17,0.01,0.14550173706282132,0.2817469995823526,0.23637554717689777,1.0,0.0,0.0,6.123233995736766e-17,0.010082266477162196,0.19999976748673537,0.19999976748673537,0.0499999117513353,2.2795464325799616e-06,-2.279546432579972e-06,6.231416510684297e-22,0.9999999999948036,0.0,0.9822730548779625,0.0,9.81000000000495
8,0.15367644162640842,0.26948491476801,0.2384192018630634,1.0,0.0,0.0,6.123233995736766e-17,0.01,0.15367644162640842,0.26948491476801,0.2384192018630634,1.0,0.0,0.0,6.123233995736766e-17,0.010032826714716489,0.19999968707070784,0.19999968707070784,0.04999999195112702,3.0679376004017273e-06,-3.0679376004017396e-06,3.2205760162172414e-22,0.9999999999905878,0.0,0.9815059460075847,0.0,9.810000000004484
9,0.16062492844305334,0.2590621306134147,0.24015632037627294,1.0,0.0,0.0,6.123233995736766e-17,0.01,0.16062492844305334,0.2590621306134147,0.24015632037627294,1.0,0.0,0.0,6.123233995736766e-17,0.010013203172399248,0.19999974422872277,0.19999974422872277,0.04999993066847028,2.5075661011736465e-06,-2.50756610117366e-06,4.304764230026665e-22,0.999999999993712,0.0,0.9801851380912394,0.0,9.80999999999078
10,0.16653115081090375,0.2502027726557109,0.24163286192010253,1.0,0.0,0.0,6.123233995736766e-17,0.01,0.16653115081090375,0.2502027726557109,0.24163286192010253,1.0,0.0,0.0,6.123233995736766e-17,0.010005364216303738,0.1999997364526395,0.1999997364526395,0.049999917605756276,2.5838020746009625e-06,-2.5838020746009765e-06,4.841543055267747e-22,0.9999999999933239,0.0,0.9812776880374089,0.0,9.810000000009115
